Studentno,Pref1,Pref2,Pref3,Pref4
1000,55,88,12,42
1001,2,7,15,99
1002,31,91,76,69
1003,75,52,92,8
1004,94,67,52,49
1005,76,22,82,19
1006,59,4,76,41
1007,13,15,98,33
1008,13,25,15,23
1009,72,95,98,20
1010,7,63,62,90
1011,78,27,19,68
1012,97,22,85,30
1013,89,68,25,90
1014,30,9,71,81
1015,52,72,56,38
1016,37,7,88,1
1017,26,25,28,77
1018,98,23,59,94
1019,75,64,45,94
1020,32,59,15,5
1021,4,73,67,45
1022,34,25,29,18
1023,38,41,37,50
1024,79,6,24,10
1025,22,41,33,91
1026,97,96,99,83
1027,69,43,32,55
1028,61,7,83,65
1029,60,52,54,24
1030,41,82,71,11
1031,27,30,32,87
1032,15,14,63,74
1033,96,25,77,32
1034,17,59,46,49
1035,80,69,77,68
1036,73,95,7,47
1037,91,58,75,12
1038,29,25,39,24
1039,14,3,7,57
1040,39,22,46,5
1041,64,81,6,93
1042,10,35,44,84
1043,8,37,95,56
1044,12,55,31,1
1045,9,54,2,81
1046,80,1,46,40
1047,64,36,41,81
1048,74,68,23,33
1049,86,97,55,69
1050,20,42,88,19
1051,73,48,14,26
1052,76,15,21,74
1053,2,47,57,22
1054,21,67,57,10
1055,94,78,7,96
1056,66,45,94,26
1057,55,60,63,14
1058,59,39,72,73
1059,15,47,23,1
1060,70,28,78,91
1061,23,85,9,60
1062,52,12,78,91
1063,69,84,99,31
1064,12,59,73,14
1065,87,77,89,26
1066,26,75,23,15
1067,93,76,24,41
1068,49,32,97,86
1069,99,71,13,40
1070,81,73,95,56
1071,72,96,22,93
1072,57,21,44,2
1073,29,97,81,14
1074,70,55,17,39
1075,57,12,80,26
1076,58,42,20,89
1077,97,91,46,85
1078,42,51,74,87
1079,59,24,82,62
1080,11,69,2,21
1081,77,19,47,27
1082,21,38,89,49
1083,15,47,2,14
1084,84,27,90,79
1085,99,62,59,17
1086,88,43,6,42
1087,74,25,96,78
1088,44,56,53,46
1089,84,76,71,43
1090,57,74,4,23
1091,92,9,38,5
1092,32,46,63,84
1093,29,27,16,78
1094,14,61,56,53
1095,2,19,52,3
1096,9,43,41,45
1097,91,76,34,68
1098,94,90,11,60
1099,49,94,66,19
